date,return
1912-07,0.518267
1912-08,1.701136
1912-09,-0.064655
1912-10,0.201403
1912-11,-0.712060
1912-12,-2.236668
1913-01,-1.393373
1913-02,-3.118280
1913-03,-1.449275
1913-04,0.340909
1913-05,-1.267842
1913-06,-5.535267
1913-07,0.818530
1913-08,3.159174
1913-09,0.405917
1913-10,-2.696366
1913-11,-3.027833
1913-12,1.376398
1914-01,4.596808
1914-02,2.810261
1914-03,-1.429835
1914-04,-0.942528
1914-05,0.061680
1914-06,-0.030600
1914-07,-6.028137
1914-08,-1.492715
1914-09,0.472005
1914-10,1.461298
1914-11,-0.523759
1914-12,-2.889078
1915-01,2.245805
1915-02,0.124239
1915-03,4.092529
1915-04,6.915750
1915-05,-2.871165
1915-06,1.577568
1915-07,0.068201
1915-08,4.688618
1915-09,4.139222
1915-10,4.916096
1915-11,2.883750
1915-12,0.590204
1916-01,-2.144846
1916-02,-0.989907
1916-03,-0.860421
1916-04,-1.597562
1916-05,1.690600
1916-06,0.476822
1916-07,-0.938568
1916-08,0.296232
1916-09,2.674751
1916-10,1.729620
1916-11,0.976007
1916-12,-4.389994
1917-01,-2.700355
1917-02,-7.507700
1917-03,3.647564
1917-04,-5.679761
1917-05,-4.340828
1917-06,1.040690
1917-07,-0.650941
1917-08,-3.847192
1917-09,-6.325934
1917-10,-6.144226
1917-11,-7.596354
1917-12,-4.014339
1918-01,4.572829
1918-02,3.089353
1918-03,-0.573447
1918-04,-1.622878
1918-05,1.779457
1918-06,-0.531920
1918-07,-1.189831
1918-08,-0.370430
1918-09,-1.781423
1918-10,2.929308
1918-11,1.260817
1918-12,-2.590984
1919-01,-0.035127
1919-02,2.850151
1919-03,2.374025
1919-04,2.030046
1919-05,6.190808
1919-06,3.186548
1919-07,0.770612
1919-08,-7.842601
1919-09,1.512167
1919-10,3.851525
1919-11,-4.595797
1919-12,-4.521775
1920-01,-2.577271
1920-02,-8.716143
1920-03,6.485007
1920-04,-3.251070
1920-05,-7.145776
1920-06,-2.617530
1920-07,0.901871
1920-08,-0.994804
1920-09,5.679084
1920-10,1.176467
1920-11,-4.052858
1920-12,-6.500152
1921-01,7.235265
1921-02,3.141899
1921-03,-1.426622
1921-04,2.149944
1921-05,5.970939
1921-06,-6.912048
1921-07,-0.260341
1921-08,-0.616769
1921-09,4.269269
1921-10,1.951967
1921-11,6.559408
1921-12,4.685683
1922-01,2.768536
1922-02,2.726370
1922-03,5.530042
1922-04,6.585594
1922-05,4.385708
1922-06,-0.464048
1922-07,0.590169
1922-08,5.499285
1922-09,3.074273
1922-10,2.054182
1922-11,-5.080797
1922-12,-0.337547
1923-01,2.458675
1923-02,4.750281
1923-03,2.078843
1923-04,-3.616571
1923-05,-4.250641
1923-06,-3.875206
1923-07,-3.965845
1923-08,1.628186
1923-09,0.569283
1923-10,-1.506481
1923-11,3.537049
1923-12,3.919790
1924-01,3.793080
1924-02,1.543260
1924-03,-0.837415
1924-04,-1.207033
1924-05,0.174804
1924-06,2.420307
1924-07,4.543113
1924-08,4.545764
1924-09,-1.059341
1924-10,-1.381491
1924-11,6.086437
1924-12,5.257677
1925-01,4.588419
1925-02,1.879304
1925-03,-2.750270
1925-04,-0.026304
1925-05,3.073563
1925-06,1.073897
1925-07,2.058311
1925-08,1.789264
1925-09,2.746296
1925-10,3.729873
1925-11,1.803946
1925-12,2.609203
1926-01,1.931180
1926-02,0.563241
1926-03,-5.852291
1926-04,-2.895236
1926-05,1.727938
1926-06,5.817230
1926-07,5.856524
1926-08,4.997769
1926-09,1.365799
1926-10,-2.387739
1926-11,1.167695
1926-12,2.710387
1927-01,0.903371
1927-02,2.966052
1927-03,2.559898
1927-04,2.881939
1927-05,3.275481
1927-06,0.550595
1927-07,4.408240
1927-08,6.343623
1927-09,5.453647
1927-10,-1.730615
1927-11,3.252930
1927-12,2.720789
1928-01,0.771621
1928-02,0.334350
1928-03,5.749615
1928-04,6.665160
1928-05,2.836461
1928-06,-4.004386
1928-07,1.093892
1928-08,3.593989
1928-09,6.135628
1928-10,2.955653
1928-11,7.084606
1928-12,1.286330
1929-01,7.696184
1929-02,0.814562
1929-03,2.654474
1929-04,0.291747
1929-05,1.201019
1929-06,1.607427
1929-07,7.940848
1929-08,5.960323
1929-09,4.246955
1929-10,-10.322151
1929-11,-26.187924
1929-12,4.984071
1930-01,2.422113
1930-02,7.264658
1930-03,4.738526
1930-04,6.060428
1930-05,-5.093007
1930-06,-9.232127
1930-07,-0.576063
1930-08,-0.294943
1930-09,-0.260765
1930-10,-12.845885
1930-11,-6.230809
1930-12,-4.439262
1931-01,4.852211
1931-02,9.509149
1931-03,3.030275
1931-04,-8.499453
1931-05,-7.979675
1931-06,-1.397753
1931-07,3.849255
1931-08,-2.492847
1931-09,-13.805675
1931-10,-12.173932
1931-11,3.431678
1931-12,-17.549475
1932-01,1.204041
1932-02,1.343801
1932-03,1.836053
1932-04,-22.699163
1932-05,-10.055759
1932-06,-11.788059
1932-07,6.137841
1932-08,52.429354
1932-09,11.159838
1932-10,-12.590934
1932-11,0.388108
1932-12,-1.928428
1933-01,6.184927
1933-02,-9.874449
1933-03,1.122910
1933-04,11.235955
1933-05,29.311805
1933-06,16.652167
1933-07,5.145968
1933-08,-5.367679
1933-09,-0.488129
1933-10,-9.380907
1933-11,2.796684
1933-12,2.317655
1934-01,6.085590
1934-02,6.939457
1934-03,-4.797924
1934-04,2.019941
1934-05,-9.825855
1934-06,0.944215
1934-07,-4.354628
1934-08,-3.513992
1934-09,-3.448846
1934-10,1.958686
1934-11,3.211546
1934-12,1.813960
1935-01,-1.071576
1935-02,-3.329602
1935-03,-5.929844
1935-04,7.151549
1935-05,8.262659
1935-06,4.931312
1935-07,5.599473
1935-08,7.104851
1935-09,2.433304
1935-10,2.993109
1935-11,8.922507
1935-12,0.300358
1936-01,5.828221
1936-02,6.038033
1936-03,3.164522
1936-04,0.424331
1936-05,-5.010454
1936-06,3.825777
1936-07,5.481388
1936-08,1.577496
1936-09,1.454526
1936-10,5.569401
1936-11,3.119860
1936-12,-1.382488
1937-01,2.729485
1937-02,3.306803
1937-03,-0.471201
1937-04,-6.270899
1937-05,-4.737307
1937-06,-3.323077
1937-07,5.647765
1937-08,1.424931
1937-09,-14.364979
1937-10,-14.091858
1937-11,-7.625987
1937-12,-0.324487
1938-01,4.685463
1938-02,-1.111243
1938-03,-6.023551
1938-04,-4.133937
1938-05,2.264946
1938-06,2.922512
1938-07,20.464686
1938-08,1.039397
1938-09,-4.102356
1938-10,12.378571
1938-11,0.433895
1938-12,-2.582249
1939-01,-1.160144
1939-02,0.260592
1939-03,0.268817
1939-04,-11.602862
1939-05,4.098697
1939-06,2.174236
1939-07,2.843395
1939-08,-1.060347
1939-09,8.699927
1939-10,2.120763
1939-11,-1.395349
1939-12,-1.960011
1940-01,0.572412
1940-02,-0.938508
1940-03,-0.143208
1940-04,1.424326
1940-05,-13.336503
1940-06,-8.741012
1940-07,4.617066
1940-08,2.655433
1940-09,4.763072
1940-10,1.465977
1940-11,2.850264
1940-12,-4.273620
1941-01,0.722802
1941-02,-5.721432
1941-03,0.467110
1941-04,-3.224788
1941-05,-2.268270
1941-06,1.984548
1941-07,5.714936
1941-08,-1.264821
1941-09,-0.470798
1941-10,-4.693865
1941-11,-4.703333
1941-12,-6.485925
1942-01,1.302585
1942-02,-3.102561
1942-03,-5.959176
1942-04,-4.063337
1942-05,0.610302
1942-06,5.737705
1942-07,3.732022
1942-08,-0.574106
1942-09,1.649205
1942-10,6.665988
1942-11,1.537911
1942-12,0.449254
1943-01,6.503852
1943-02,6.433763
1943-03,2.200446
1943-04,2.593562
1943-05,3.766983
1943-06,2.179703
1943-07,3.063683
1943-08,-3.984851
1943-09,1.965968
1943-10,-0.498101
1943-11,-4.204078
1943-12,1.772580
1944-01,3.668215
1944-02,-0.241444
1944-03,3.242707
1944-04,-1.870209
1944-05,2.205402
1944-06,4.547215
1944-07,2.439094
1944-08,-1.053419
1944-09,-1.223003
1944-10,2.883598
1944-11,-0.284018
1944-12,2.023699
1945-01,3.386344
1945-02,3.735277
1945-03,0.316834
1945-04,2.901412
1945-05,3.578927
1945-06,1.058217
1945-07,-1.693543
1945-08,0.708540
1945-09,7.181389
1945-10,4.513889
1945-11,3.606061
1945-12,1.464073
1946-01,4.302110
1946-02,1.144591
1946-03,-3.738447
1946-04,6.189080
1946-05,-0.025299
1946-06,-1.404577
1946-07,-7.960156
1946-08,-3.570116
1946-09,-15.259915
1946-10,-3.755565
1946-11,-2.356613
1946-12,2.436161
1947-01,0.921642
1947-02,4.271678
1947-03,-5.430322
1947-04,-3.290824
1947-05,-1.354642
1947-06,3.456004
1947-07,5.737982
1947-08,-2.866202
1947-09,-4.288416
1947-10,3.036004
1947-11,-1.150743
1947-12,-2.381072
1948-01,-2.117986
1948-02,-3.633472
1948-03,2.356363
1948-04,6.369366
1948-05,4.889375
1948-06,3.719260
1948-07,-3.159180
1948-08,-2.883133
1948-09,-0.674404
1948-10,3.621974
1948-11,-4.306216
1948-12,0.267172
1949-01,2.061999
1949-02,-2.506055
